Date, Open, High, Low, Close, Volume
10/27/23,1.96,1.97,1.94,1.96,6800000
10/26/23,1.97,1.99,1.95,1.95,12965000
10/25/23,2,2.03,2,2.01,6178000
10/24/23,2,2.02,1.99,2,7524000
10/23/23,2.01,2.02,2,2,8299000
10/20/23,2.01,2.03,2.01,2.01,11213000
10/19/23,2.06,2.06,2.01,2.02,11898000
10/18/23,2.09,2.09,2.04,2.04,57305000
10/17/23,2.07,2.09,2.07,2.08,5930000
10/16/23,2.07,2.09,2.06,2.08,7394000
10/13/23,2.06,2.08,2.05,2.06,7482000
10/12/2023,2.05,2.08,2.05,2.05,6707000
10/11/2023,2.08,2.1,2.04,2.04,39209000
10/10/2023,2.03,2.07,2.03,2.07,19482000
10/09/2023,2.02,2.03,2.01,2.03,10486000
10/06/2023,2.03,2.03,2.01,2.02,3419000
10/05/2023,2.02,2.04,2.02,2.03,5824000
10/04/2023,2.02,2.04,2.02,2.03,6413000
10/03/2023,2.03,2.03,2.01,2.02,1710000
10/02/2023,2.02,2.03,2.01,2.03,3540000
09/29/23,2.02,2.03,2,2.02,5686000
09/28/23,2.03,2.03,2.01,2.02,5473000
09/27/23,2.01,2.03,2,2.02,8686000
09/26/23,2,2.01,1.99,2.01,4495000
09/25/23,1.99,2,1.98,2,3959000
09/22/23,2,2,1.97,1.98,7114000
09/21/23,1.99,2,1.98,1.99,5158000
09/20/23,1.98,1.99,1.97,1.98,14045000
09/19/23,2,2,1.98,1.98,6428000
09/18/23,2,2.01,1.98,2,5957000
09/15/23,2,2.02,1.99,1.99,14569000
09/14/23,2.01,2.02,2,2,7066000
09/13/23,2.01,2.02,2,2.01,2541000
09/12/2023,2.03,2.03,2,2.01,5307000
09/11/2023,2.01,2.02,2,2.01,2212000
09/08/2023,2.02,2.02,1.99,2,5229000
09/07/2023,2.01,2.05,2,2.01,7320000
09/06/2023,2.06,2.06,2.01,2.01,5253000
09/05/2023,2.02,2.06,2.01,2.06,9179000
09/04/2023,2.01,2.02,2,2.01,6125000
09/01/2023,1.99,2.01,1.99,2.01,1202000
08/31/23,2.01,2.02,1.99,1.99,12396000
08/30/23,2.01,2.02,2,2,3364000
08/29/23,2,2.03,2,2,3665000
08/25/23,2.01,2.02,2,2,4504000
08/24/23,2.03,2.05,2,2.01,12420000
08/23/23,2.03,2.04,2.02,2.03,2180000
08/22/23,2.03,2.05,2.02,2.03,4788000
08/18/23,2.04,2.05,2.03,2.05,7630000
08/17/23,2.03,2.05,2.03,2.04,4948000
08/16/23,2.03,2.04,2.02,2.03,2079000
